Season,Position,Crest names,Team,City,Points,Matches,Won,Draw,Lost,Scored,Conceded,GoalDifference
2002-03,12,Atlético de Madrid,Atlético Madrid,Madrid,47,38,12,11,15,51,56,-5
2002-03,13,Málaga CF,Málaga,Málaga,46,38,11,13,14,44,49,-5
2002-03,14,R. Valladolid CF,Valladolid,Valladolid,46,38,12,10,16,37,40,-3
2002-03,15,Villarreal CF,Villarreal,Vila-real,45,38,11,12,15,44,53,-9
2002-03,16,R. Racing C.,Racing Santander,Santander,44,38,13,5,20,54,64,-10
2002-03,17,RCD Espanyol,Espanyol,Barcelona,43,38,10,13,15,48,54,-6
2002-03,18,RC Recreativo,Recreativo,Huelva,36,38,8,12,18,35,61,-26
2002-03,19,D. Alavés,Alavés,Vitoria-Gasteiz,35,38,8,11,19,38,68,-30
2002-03,20,Rayo Vallecano,Rayo Vallecano,Madrid,32,38,7,11,20,31,62,-31
2003-04,1,Valencia CF,Valencia,Valencia,77,38,23,8,7,71,27,44
2003-04,2,FC Barcelona,Barcelona,Barcelona,72,38,21,9,8,63,39,24
2003-04,3,RC Deportivo,Deportivo La Coruña,A Coruña,71,38,21,8,9,60,34,26
2003-04,4,Real Madrid,Real Madrid,Madrid,70,38,21,7,10,72,54,18
2003-04,5,Athletic Club,Athletic Bilbao,Bilbao,56,38,15,11,12,53,49,4
2003-04,6,Sevilla FC,Sevilla,Sevilla,55,38,15,10,13,56,45,11
2003-04,7,Atlético de Madrid,Atlético Madrid,Madrid,55,38,15,10,13,51,53,-2
2003-04,8,Villarreal CF,Villarreal,Vila-real,54,38,15,9,14,47,49,-2
2003-04,9,Real Betis,Real Betis,Seville,52,38,13,13,12,46,43,3
2003-04,10,Málaga CF,Málaga,Málaga,51,38,15,6,17,50,55,-5
2003-04,11,RCD Mallorca,Mallorca,Palma,51,38,15,6,17,54,66,-12
2003-04,12,R. Zaragoza,Zaragoza,Zaragoza,48,38,13,9,16,46,55,-9
2003-04,13,CA Osasuna,Osasuna,Pamplona,48,38,11,15,12,38,37,1
2003-04,14,Albacete BP,Albacete,Albacete,47,38,13,8,17,40,48,-8
2003-04,15,Real Sociedad,Real Sociedad,San Sebastian,46,38,11,13,14,49,53,-4
2003-04,16,R. Racing C.,Racing Santander,Santander,43,38,11,10,17,48,63,-15
2003-04,17,RCD Espanyol,Espanyol,Barcelona,43,38,13,4,21,48,64,-16
2003-04,18,R. Valladolid CF,Valladolid,Valladolid,41,38,10,11,17,46,56,-10
2003-04,19,RC Celta,Celta Vigo,Vigo,39,38,9,12,17,48,68,-20
2003-04,20,Real Murcia,Murcia,Murcia,26,38,5,11,22,29,57,-28
2004-05,1,FC Barcelona,Barcelona,Barcelona,84,38,25,9,4,73,29,44
2004-05,2,Real Madrid,Real Madrid,Madrid,80,38,25,5,8,71,32,39
2004-05,3,Villarreal CF,Villarreal,Vila-real,65,38,18,11,9,69,37,32
2004-05,4,Real Betis,Real Betis,Seville,62,38,16,14,8,62,50,12
2004-05,5,RCD Espanyol,Espanyol,Barcelona,61,38,17,10,11,54,46,8
2004-05,6,Sevilla FC,Sevilla,Sevilla,60,38,17,9,12,44,41,3
2004-05,7,Valencia CF,Valencia,Valencia,58,38,14,16,8,54,39,15
2004-05,8,RC Deportivo,Deportivo La Coruña,A Coruña,51,38,12,15,11,46,50,-4
2004-05,9,Athletic Club,Athletic Bilbao,Bilbao,51,38,14,9,15,59,54,5
2004-05,10,Málaga CF,Málaga,Málaga,51,38,15,6,17,40,48,-8
2004-05,11,Atlético de Madrid,Atlético Madrid,Madrid,50,38,13,11,14,40,34,6
2004-05,12,R. Zaragoza,Zaragoza,Zaragoza,50,38,14,8,16,52,57,-5
2004-05,13,Getafe CF,Getafe,Getafe,47,38,12,11,15,38,46,-8
2004-05,14,Real Sociedad,Real Sociedad,San Sebastian,47,38,13,8,17,47,56,-9
2004-05,15,CA Osasuna,Osasuna,Pamplona,46,38,12,10,16,46,65,-19
2004-05,16,R. Racing C.,Racing Santander,Santander,44,38,12,8,18,41,58,-17
2004-05,17,RCD Mallorca,Mallorca,Palma,39,38,10,9,19,42,63,-21
2004-05,18,Levante UD,Levante,Valencia,37,38,9,10,19,39,58,-19
2004-05,19,CD Numancia,Numancia,Soria,29,38,6,11,21,30,61,-31
2004-05,20,Albacete BP,Albacete,Albacete,28,38,6,10,22,33,56,-23
2005-06,1,FC Barcelona,Barcelona,Barcelona,82,38,25,7,6,80,35,45
2005-06,2,Real Madrid,Real Madrid,Madrid,70,38,20,10,8,70,40,30
2005-06,3,Valencia CF,Valencia,Valencia,69,38,19,12,7,58,33,25
2005-06,4,CA Osasuna,Osasuna,Pamplona,68,38,21,5,12,49,43,6
2005-06,5,Sevilla FC,Sevilla,Sevilla,68,38,20,8,10,54,39,15
2005-06,6,RC Celta,Celta Vigo,Vigo,64,38,20,4,14,45,33,12
2005-06,7,Villarreal CF,Villarreal,Vila-real,57,38,14,15,9,50,39,11
2005-06,8,RC Deportivo,Deportivo La Coruña,A Coruña,55,38,15,10,13,47,45,2
2005-06,9,Getafe CF,Getafe,Getafe,54,38,15,9,14,54,49,5
2005-06,10,Atlético de Madrid,Atlético Madrid,Madrid,52,38,13,13,12,45,37,8
2005-06,11,R. Zaragoza,Zaragoza,Zaragoza,46,38,10,16,12,46,51,-5
2005-06,12,Athletic Club,Athletic Bilbao,Bilbao,45,38,11,12,15,40,46,-6
2005-06,13,RCD Mallorca,Mallorca,Palma,43,38,10,13,15,37,51,-14
2005-06,14,Real Betis,Real Betis,Seville,42,38,10,12,16,34,51,-17
2005-06,15,RCD Espanyol,Espanyol,Barcelona,41,38,10,11,17,36,56,-20
2005-06,16,Real Sociedad,Real Sociedad,San Sebastian,40,38,11,7,20,48,65,-17
2005-06,17,R. Racing C.,Racing Santander,Santander,40,38,9,13,16,36,49,-13
2005-06,18,D. Alavés,Alavés,Vitoria-Gasteiz,39,38,9,12,17,35,54,-19
2005-06,19,Cádiz CF,Cádiz,Cádiz,36,38,8,12,18,36,52,-16
2005-06,20,Málaga CF,Málaga,Málaga,24,38,5,9,24,36,68,-32
2006-07,1,Real Madrid,Real Madrid,Madrid,76,38,23,7,8,66,40,26
2006-07,2,FC Barcelona,Barcelona,Barcelona,76,38,22,10,6,78,33,45
2006-07,3,Sevilla FC,Sevilla,Sevilla,71,38,21,8,9,64,35,29
2006-07,4,Valencia CF,Valencia,Valencia,66,38,20,6,12,57,42,15
2006-07,5,Villarreal CF,Villarreal,Vila-real,62,38,18,8,12,48,44,4
2006-07,6,R. Zaragoza,Zaragoza,Zaragoza,60,38,16,12,10,55,43,12
2006-07,7,Atlético de Madrid,Atlético Madrid,Madrid,60,38,17,9,12,46,39,7
2006-07,8,RC Recreativo,Recreativo,Huelva,54,38,15,9,14,54,52,2
2006-07,9,Getafe CF,Getafe,Getafe,52,38,14,10,14,39,33,6
2006-07,10,R. Racing C.,Racing Santander,Santander,50,38,12,14,12,42,48,-6
2006-07,11,RCD Espanyol,Espanyol,Barcelona,49,38,12,13,13,46,53,-7
2006-07,12,RCD Mallorca,Mallorca,Palma,49,38,14,7,17,41,47,-6
2006-07,13,RC Deportivo,Deportivo La Coruña,A Coruña,47,38,12,11,15,32,45,-13
2006-07,14,CA Osasuna,Osasuna,Pamplona,46,38,13,7,18,51,49,2
2006-07,15,Levante UD,Levante,Valencia,42,38,10,12,16,37,53,-16
2006-07,16,Real Betis,Real Betis,Seville,40,38,8,16,14,36,49,-13
2006-07,17,Athletic Club,Athletic Bilbao,Bilbao,40,38,10,10,18,44,62,-18
2006-07,18,RC Celta,Celta Vigo,Vigo,39,38,10,9,19,40,59,-19
2006-07,19,Real Sociedad,Real Sociedad,San Sebastian,35,38,8,11,19,32,47,-15
2006-07,20,Nàstic,Gimnàstic,Tarragona,28,38,7,7,24,34,69,-35
2007-08,1,Real Madrid,Real Madrid,Madrid,85,38,27,4,7,84,36,48
2007-08,2,Villarreal CF,Villarreal,Vila-real,77,38,24,5,9,63,40,23
2007-08,3,FC Barcelona,Barcelona,Barcelona,67,38,19,10,9,76,43,33
2007-08,4,Atlético de Madrid,Atlético Madrid,Madrid,64,38,19,7,12,66,47,19
2007-08,5,Sevilla FC,Sevilla,Sevilla,64,38,20,4,14,75,49,26
2007-08,6,R. Racing C.,Racing Santander,Santander,60,38,17,9,12,42,41,1
2007-08,7,RCD Mallorca,Mallorca,Palma,59,38,15,14,9,69,54,15
2007-08,8,UD Almería,Almería,Almería,52,38,14,10,14,42,45,-3
2007-08,9,RC Deportivo,Deportivo La Coruña,A Coruña,52,38,15,7,16,46,47,-1
2007-08,10,Valencia CF,Valencia,Valencia,51,38,15,6,17,48,62,-14
2007-08,11,Athletic Club,Athletic Bilbao,Bilbao,50,38,13,11,14,40,43,-3
2007-08,12,RCD Espanyol,Espanyol,Barcelona,48,38,13,9,16,43,53,-10
2007-08,13,Real Betis,Real Betis,Seville,47,38,12,11,15,45,51,-6
2007-08,14,Getafe CF,Getafe,Getafe,47,38,12,11,15,44,48,-4
2007-08,15,R. Valladolid CF,Valladolid,Valladolid,45,38,11,12,15,42,57,-15
2007-08,16,RC Recreativo,Recreativo,Huelva,44,38,11,11,16,40,60,-20
2007-08,17,CA Osasuna,Osasuna,Pamplona,43,38,12,7,19,37,44,-7
2007-08,18,R. Zaragoza,Zaragoza,Zaragoza,42,38,10,12,16,50,61,-11
2007-08,19,Real Murcia,Murcia,Murcia,30,38,7,9,22,36,65,-29
2007-08,20,Levante UD,Levante,Valencia,26,38,7,5,26,33,75,-42
2008-09,1,FC Barcelona,Barcelona,Barcelona,87,38,27,6,5,105,35,70
2008-09,2,Real Madrid,Real Madrid,Madrid,78,38,25,3,10,83,52,31
2008-09,3,Sevilla FC,Sevilla,Sevilla,70,38,21,7,10,54,39,15
2008-09,4,Atlético de Madrid,Atlético Madrid,Madrid,67,38,20,7,11,80,57,23
2008-09,5,Villarreal CF,Villarreal,Vila-real,65,38,18,11,9,61,54,7
2008-09,6,Valencia CF,Valencia,Valencia,62,38,18,8,12,68,54,14
2008-09,7,RC Deportivo,Deportivo La Coruña,A Coruña,58,38,16,10,12,48,47,1
2008-09,8,Málaga CF,Málaga,Málaga,55,38,15,10,13,55,59,-4
2008-09,9,RCD Mallorca,Mallorca,Palma,51,38,14,9,15,53,60,-7
2008-09,10,RCD Espanyol,Espanyol,Barcelona,47,38,12,11,15,46,49,-3
2008-09,11,UD Almería,Almería,Almería,46,38,13,7,18,45,61,-16
2008-09,12,R. Racing C.,Racing Santander,Santander,46,38,12,10,16,49,48,1
2008-09,13,Athletic Club,Athletic Bilbao,Bilbao,44,38,12,8,18,47,62,-15
2008-09,14,R. Sporting,Sporting Gijón,Gijón,43,38,14,1,23,47,79,-32
2008-09,15,CA Osasuna,Osasuna,Pamplona,43,38,10,13,15,41,47,-6
2008-09,16,R. Valladolid CF,Valladolid,Valladolid,43,38,12,7,19,46,58,-12
2008-09,17,Getafe CF,Getafe,Getafe,42,38,10,12,16,50,56,-6
2008-09,18,Real Betis,Real Betis,Seville,42,38,10,12,16,51,58,-7
2008-09,19,CD Numancia,Numancia,Soria,35,38,10,5,23,38,69,-31
2008-09,20,RC Recreativo,Recreativo,Huelva,33,38,8,9,21,34,57,-23
2009-10,1,FC Barcelona,Barcelona,Barcelona,99,38,31,6,1,98,24,74
2009-10,2,Real Madrid,Real Madrid,Madrid,96,38,31,3,4,102,35,67
2009-10,3,Valencia CF,Valencia,Valencia,71,38,21,8,9,59,40,19
2009-10,4,Sevilla FC,Sevilla,Sevilla,63,38,19,6,13,65,49,16
2009-10,5,RCD Mallorca,Mallorca,Palma,62,38,18,8,12,59,44,15
2009-10,6,Getafe CF,Getafe,Getafe,58,38,17,7,14,58,48,10
2009-10,7,Villarreal CF,Villarreal,Vila-real,56,38,16,8,14,58,57,1
2009-10,8,Athletic Club,Athletic Bilbao,Bilbao,54,38,15,9,14,50,53,-3
2009-10,9,Atlético de Madrid,Atlético Madrid,Madrid,47,38,13,8,17,57,61,-4
2009-10,10,RC Deportivo,Deportivo La Coruña,A Coruña,47,38,13,8,17,35,49,-14
2009-10,11,RCD Espanyol,Espanyol,Barcelona,44,38,11,11,16,29,46,-17
2009-10,12,CA Osasuna,Osasuna,Pamplona,43,38,11,10,17,37,46,-9
2009-10,13,UD Almería,Almería,Almería,42,38,10,12,16,43,55,-12
2009-10,14,R. Zaragoza,Zaragoza,Zaragoza,41,38,10,11,17,46,64,-18
2009-10,15,R. Sporting,Sporting Gijón,Gijón,40,38,9,13,16,36,51,-15
2009-10,16,R. Racing C.,Racing Santander,Santander,39,38,9,12,17,42,59,-17
2009-10,17,Málaga CF,Málaga,Málaga,37,38,7,16,15,42,48,-6
2009-10,18,R. Valladolid CF,Valladolid,Valladolid,36,38,7,15,16,37,62,-25
2009-10,19,CD Tenerife,Tenerife,Tenerife,36,38,9,9,20,40,74,-34
2009-10,20,Xerez CD,Xerez,Jerez de la Frontera,34,38,8,10,20,38,66,-28
2010-11,1,FC Barcelona,Barcelona,Barcelona,96,38,30,6,2,95,21,74
2010-11,2,Real Madrid,Real Madrid,Madrid,92,38,29,5,4,102,33,69
2010-11,3,Valencia CF,Valencia,Valencia,71,38,21,8,9,64,44,20
2010-11,4,Villarreal CF,Villarreal,Vila-real,62,38,18,8,12,54,44,10
2010-11,5,Sevilla FC,Sevilla,Sevilla,58,38,17,7,14,62,61,1
2010-11,6,Athletic Club,Athletic Bilbao,Bilbao,58,38,18,4,16,59,55,4
2010-11,7,Atlético de Madrid,Atlético Madrid,Madrid,58,38,17,7,14,62,53,9
2010-11,8,RCD Espanyol,Espanyol,Barcelona,49,38,15,4,19,46,55,-9
2010-11,9,CA Osasuna,Osasuna,Pamplona,47,38,13,8,17,45,46,-1
2010-11,10,R. Sporting,Sporting Gijón,Gijón,47,38,11,14,13,35,42,-7
2010-11,11,Málaga CF,Málaga,Málaga,46,38,13,7,18,54,68,-14
2010-11,12,R. Racing C.,Racing Santander,Santander,46,38,12,10,16,41,56,-15
2010-11,13,R. Zaragoza,Zaragoza,Zaragoza,45,38,12,9,17,40,53,-13
2010-11,14,Levante UD,Levante,Valencia,45,38,12,9,17,41,52,-11
2010-11,15,Real Sociedad,Real Sociedad,San Sebastian,45,38,14,3,21,49,66,-17
2010-11,16,Getafe CF,Getafe,Getafe,44,38,12,8,18,49,60,-11
2010-11,17,RCD Mallorca,Mallorca,Palma,44,38,12,8,18,41,56,-15
2010-11,18,RC Deportivo,Deportivo La Coruña,A Coruña,43,38,10,13,15,31,47,-16
2010-11,19,Hércules CF,Hércules,Alicante,35,38,9,8,21,36,60,-24
2010-11,20,UD Almería,Almería,Almería,30,38,6,12,20,36,70,-34
2011-12,1,Real Madrid,Real Madrid,Madrid,100,38,32,4,2,121,32,89
2011-12,2,FC Barcelona,Barcelona,Barcelona,91,38,28,7,3,114,29,85
2011-12,3,Valencia CF,Valencia,Valencia,61,38,17,10,11,59,44,15
2011-12,4,Málaga CF,Málaga,Málaga,58,38,17,7,14,54,53,1
2011-12,5,Atlético de Madrid,Atlético Madrid,Madrid,56,38,15,11,12,53,46,7
2011-12,6,Levante UD,Levante,Valencia,55,38,16,7,15,54,50,4
2011-12,7,CA Osasuna,Osasuna,Pamplona,54,38,13,15,10,44,61,-17
2011-12,8,RCD Mallorca,Mallorca,Palma,52,38,14,10,14,42,46,-4
2011-12,9,Sevilla FC,Sevilla,Sevilla,50,38,13,11,14,48,47,1
2011-12,10,Athletic Club,Athletic Bilbao,Bilbao,49,38,12,13,13,49,52,-3
2011-12,11,Getafe CF,Getafe,Getafe,47,38,12,11,15,40,51,-11
2011-12,12,Real Sociedad,Real Sociedad,San Sebastian,47,38,12,11,15,46,52,-6
2011-12,13,Real Betis,Real Betis,Seville,47,38,13,8,17,47,56,-9
2011-12,14,RCD Espanyol,Espanyol,Barcelona,46,38,12,10,16,46,56,-10
2011-12,15,Rayo Vallecano,Rayo Vallecano,Madrid,43,38,13,4,21,53,73,-20
2011-12,16,R. Zaragoza,Zaragoza,Zaragoza,43,38,12,7,19,36,61,-25
2011-12,17,Granada CF,Granada,Granada,42,38,12,6,20,35,56,-21
2011-12,18,Villarreal CF,Villarreal,Vila-real,41,38,9,14,15,39,53,-14
2011-12,19,R. Sporting,Sporting Gijón,Gijón,37,38,10,7,21,42,69,-27
2011-12,20,R. Racing C.,Racing Santander,Santander,27,38,4,15,19,28,63,-35
2012-13,1,FC Barcelona,Barcelona,Barcelona,100,38,32,4,2,115,40,75
2012-13,2,Real Madrid,Real Madrid,Madrid,85,38,26,7,5,103,42,61
2012-13,3,Atlético de Madrid,Atlético Madrid,Madrid,76,38,23,7,8,65,31,34
2012-13,4,Real Sociedad,Real Sociedad,San Sebastian,66,38,18,12,8,70,49,21
2012-13,5,Valencia CF,Valencia,Valencia,65,38,19,8,11,67,54,13
2012-13,6,Málaga CF,Málaga,Málaga,57,38,16,9,13,53,50,3
2012-13,7,Real Betis,Real Betis,Seville,56,38,16,8,14,57,56,1
2012-13,8,Rayo Vallecano,Rayo Vallecano,Madrid,53,38,16,5,17,50,66,-16
2012-13,9,Sevilla FC,Sevilla,Sevilla,50,38,14,8,16,58,54,4
2012-13,10,Getafe CF,Getafe,Getafe,47,38,13,8,17,43,57,-14
2012-13,11,Levante UD,Levante,Valencia,46,38,12,10,16,40,57,-17
2012-13,12,Athletic Club,Athletic Bilbao,Bilbao,45,38,12,9,17,44,65,-21
2012-13,13,RCD Espanyol,Espanyol,Barcelona,44,38,11,11,16,43,52,-9
2012-13,14,R. Valladolid CF,Valladolid,Valladolid,43,38,11,10,17,49,58,-9
2012-13,15,Granada CF,Granada,Granada,42,38,11,9,18,37,54,-17
2012-13,16,CA Osasuna,Osasuna,Pamplona,39,38,10,9,19,33,50,-17
2012-13,17,RC Celta,Celta Vigo,Vigo,37,38,10,7,21,37,52,-15
2012-13,18,RCD Mallorca,Mallorca,Palma,36,38,9,9,20,43,72,-29
2012-13,19,RC Deportivo,Deportivo La Coruña,A Coruña,35,38,8,11,19,47,70,-23
2012-13,20,R. Zaragoza,Zaragoza,Zaragoza,34,38,9,7,22,37,62,-25
2013-14,1,Atlético de Madrid,Atlético Madrid,Madrid,90,38,28,6,4,77,26,51
2013-14,2,FC Barcelona,Barcelona,Barcelona,87,38,27,6,5,100,33,67
2013-14,3,Real Madrid,Real Madrid,Madrid,87,38,27,6,5,104,38,66
2013-14,4,Athletic Club,Athletic Bilbao,Bilbao,70,38,20,10,8,66,39,27
2013-14,5,Sevilla FC,Sevilla,Sevilla,63,38,18,9,11,69,52,17
2013-14,6,Villarreal CF,Villarreal,Vila-real,59,38,17,8,13,60,44,16
2013-14,7,Real Sociedad,Real Sociedad,San Sebastian,59,38,16,11,11,62,55,7
2013-14,8,Valencia CF,Valencia,Valencia,49,38,13,10,15,51,53,-2
2013-14,9,RC Celta,Celta Vigo,Vigo,49,38,14,7,17,49,54,-5
2013-14,10,Levante UD,Levante,Valencia,48,38,12,12,14,35,43,-8
2013-14,11,Málaga CF,Málaga,Málaga,45,38,12,9,17,39,46,-7
2013-14,12,Rayo Vallecano,Rayo Vallecano,Madrid,43,38,13,4,21,46,80,-34
2013-14,13,Getafe CF,Getafe,Getafe,42,38,11,9,18,35,54,-19
2013-14,14,RCD Espanyol,Espanyol,Barcelona,42,38,11,9,18,41,51,-10
2013-14,15,Granada CF,Granada,Granada,41,38,12,5,21,32,56,-24
2013-14,16,Elche CF,Elche,Alicante,40,38,9,13,16,30,50,-20
2013-14,17,UD Almería,Almería,Almería,40,38,11,7,20,43,71,-28
2013-14,18,CA Osasuna,Osasuna,Pamplona,39,38,10,9,19,32,62,-30
2013-14,19,R. Valladolid CF,Valladolid,Valladolid,36,38,7,15,16,38,60,-22
2013-14,20,Real Betis,Real Betis,Seville,25,38,6,7,25,36,78,-42
2014-15,1,FC Barcelona,Barcelona,Barcelona,94,38,30,4,4,110,21,89
2014-15,2,Real Madrid,Real Madrid,Madrid,92,38,30,2,6,118,38,80
2014-15,3,Atlético de Madrid,Atlético Madrid,Madrid,78,38,23,9,6,67,29,38
2014-15,4,Valencia CF,Valencia,Valencia,77,38,22,11,5,70,32,38
2014-15,5,Sevilla FC,Sevilla,Sevilla,76,38,23,7,8,71,45,26
2014-15,6,Villarreal CF,Villarreal,Vila-real,60,38,16,12,10,48,37,11
2014-15,7,Athletic Club,Athletic Bilbao,Bilbao,55,38,15,10,13,42,41,1
2014-15,8,RC Celta,Celta Vigo,Vigo,51,38,13,12,13,47,44,3
2014-15,9,Málaga CF,Málaga,Málaga,50,38,14,8,16,42,48,-6
2014-15,10,RCD Espanyol,Espanyol,Barcelona,49,38,13,10,15,47,51,-4
2014-15,11,Rayo Vallecano,Rayo Vallecano,Madrid,49,38,15,4,19,46,68,-22
2014-15,12,Real Sociedad,Real Sociedad,San Sebastian,46,38,11,13,14,44,51,-7
2014-15,13,Elche CF,Elche,Alicante,41,38,11,8,19,35,62,-27
2014-15,14,Levante UD,Levante,Valencia,37,38,9,10,19,34,67,-33
2014-15,15,Getafe CF,Getafe,Getafe,37,38,10,7,21,33,64,-31
2014-15,16,RC Deportivo,Deportivo La Coruña,A Coruña,35,38,7,14,17,35,60,-25
2014-15,17,Granada CF,Granada,Granada,35,38,7,14,17,29,64,-35
2014-15,18,SD Eibar,Eibar,Eibar,35,38,9,8,21,34,55,-21
2014-15,19,UD Almería,Almería,Almería,32,38,8,8,22,35,64,-29
2014-15,20,Córdoba CF,Córdoba,Córdoba,20,38,3,11,24,22,68,-46
2015-16,1,FC Barcelona,Barcelona,Barcelona,91,38,29,4,5,112,29,83
2015-16,2,Real Madrid,Real Madrid,Madrid,90,38,28,6,4,110,34,76
2015-16,3,Atlético de Madrid,Atlético Madrid,Madrid,88,38,28,4,6,63,18,45
2015-16,4,Villarreal CF,Villarreal,Vila-real,64,38,18,10,10,44,35,9
2015-16,5,Athletic Club,Athletic Bilbao,Bilbao,62,38,18,8,12,58,45,13
2015-16,6,RC Celta,Celta Vigo,Vigo,60,38,17,9,12,51,59,-8
2015-16,7,Sevilla FC,Sevilla,Sevilla,52,38,14,10,14,51,50,1
2015-16,8,Málaga CF,Málaga,Málaga,48,38,12,12,14,38,35,3
2015-16,9,Real Sociedad,Real Sociedad,San Sebastian,48,38,13,9,16,45,48,-3
2015-16,10,Real Betis,Real Betis,Seville,45,38,11,12,15,34,52,-18
2015-16,11,UD Las Palmas,Las Palmas,Las Palmas de Gran Canaria,44,38,12,8,18,45,53,-8
2015-16,12,Valencia CF,Valencia,Valencia,44,38,11,11,16,46,48,-2
2015-16,13,RCD Espanyol,Espanyol,Barcelona,43,38,12,7,19,40,74,-34
2015-16,14,SD Eibar,Eibar,Eibar,43,38,11,10,17,49,61,-12
2015-16,15,RC Deportivo,Deportivo La Coruña,A Coruña,42,38,8,18,12,45,61,-16
2015-16,16,Granada CF,Granada,Granada,39,38,10,9,19,46,69,-23
2015-16,17,R. Sporting,Sporting Gijón,Gijón,39,38,10,9,19,40,62,-22
2015-16,18,Rayo Vallecano,Rayo Vallecano,Madrid,38,38,9,11,18,52,73,-21
2015-16,19,Getafe CF,Getafe,Getafe,36,38,9,9,20,37,67,-30
2015-16,20,Levante UD,Levante,Valencia,32,38,8,8,22,37,70,-33
2016-17,1,Real Madrid,Real Madrid,Madrid,93,38,29,6,3,106,41,65
2016-17,2,FC Barcelona,Barcelona,Barcelona,90,38,28,6,4,116,37,79
2016-17,3,Atlético de Madrid,Atlético Madrid,Madrid,78,38,23,9,6,70,27,43
2016-17,4,Sevilla FC,Sevilla,Sevilla,72,38,21,9,8,69,49,20
2016-17,5,Villarreal CF,Villarreal,Vila-real,67,38,19,10,9,56,33,23
2016-17,6,Real Sociedad,Real Sociedad,San Sebastian,64,38,19,7,12,59,53,6
2016-17,7,Athletic Club,Athletic Bilbao,Bilbao,63,38,19,6,13,53,43,10
2016-17,8,RCD Espanyol,Espanyol,Barcelona,56,38,15,11,12,49,50,-1
2016-17,9,D. Alavés,Alavés,Vitoria-Gasteiz,55,38,14,13,11,41,43,-2
2016-17,10,SD Eibar,Eibar,Eibar,54,38,15,9,14,56,51,5
2016-17,11,Málaga CF,Málaga,Málaga,46,38,12,10,16,49,55,-6
2016-17,12,Valencia CF,Valencia,Valencia,46,38,13,7,18,56,65,-9
2016-17,13,RC Celta,Celta Vigo,Vigo,45,38,13,6,19,53,69,-16
2016-17,14,UD Las Palmas,Las Palmas,Las Palmas de Gran Canaria,39,38,10,9,19,53,74,-21
2016-17,15,Real Betis,Real Betis,Seville,39,38,10,9,19,41,64,-23
2016-17,16,RC Deportivo,Deportivo La Coruña,A Coruña,36,38,8,12,18,43,61,-18
2016-17,17,CD Leganés,Leganés,Leganés,35,38,8,11,19,36,55,-19
2016-17,18,R. Sporting,Sporting Gijón,Gijón,31,38,7,10,21,42,72,-30
2016-17,19,CA Osasuna,Osasuna,Pamplona,22,38,4,10,24,40,94,-54
2016-17,20,Granada CF,Granada,Granada,20,38,4,8,26,30,82,-52
2017-18,1,FC Barcelona,Barcelona,Barcelona,93,38,28,9,1,99,29,70
2017-18,2,Atlético de Madrid,Atlético Madrid,Madrid,79,38,23,10,5,58,22,36
2017-18,3,Real Madrid,Real Madrid,Madrid,76,38,22,10,6,94,44,50
2017-18,4,Valencia CF,Valencia,Valencia,73,38,22,7,9,65,38,27
2017-18,5,Villarreal CF,Villarreal,Vila-real,61,38,18,7,13,57,50,7
2017-18,6,Real Betis,Real Betis,Seville,60,38,18,6,14,60,61,-1
2017-18,7,Sevilla FC,Sevilla,Sevilla,58,38,17,7,14,49,58,-9
2017-18,8,Getafe CF,Getafe,Getafe,55,38,15,10,13,42,33,9
2017-18,9,SD Eibar,Eibar,Eibar,51,38,14,9,15,44,50,-6
2017-18,10,Girona FC,Girona,Girona,51,38,14,9,15,50,59,-9
2017-18,11,RCD Espanyol,Espanyol,Barcelona,49,38,12,13,13,36,42,-6
2017-18,12,Real Sociedad,Real Sociedad,San Sebastian,49,38,14,7,17,66,59,7
2017-18,13,RC Celta,Celta Vigo,Vigo,49,38,13,10,15,59,60,-1
2017-18,14,D. Alavés,Alavés,Vitoria-Gasteiz,47,38,15,2,21,40,50,-10
2017-18,15,Levante UD,Levante,Valencia,46,38,11,13,14,44,58,-14
2017-18,16,Athletic Club,Athletic Bilbao,Bilbao,43,38,10,13,15,41,49,-8
2017-18,17,CD Leganés,Leganés,Leganés,43,38,12,7,19,34,51,-17
2017-18,18,RC Deportivo,Deportivo La Coruña,A Coruña,29,38,6,11,21,38,76,-38
2017-18,19,UD Las Palmas,Las Palmas,Las Palmas de Gran Canaria,22,38,5,7,26,24,74,-50
2017-18,20,Málaga CF,Málaga,Málaga,20,38,5,5,28,24,61,-37
2018-19,1,FC Barcelona,Barcelona,Barcelona,87,38,26,9,3,90,36,54
2018-19,2,Atlético de Madrid,Atlético Madrid,Madrid,76,38,22,10,6,55,29,26
2018-19,3,Real Madrid,Real Madrid,Madrid,68,38,21,5,12,63,46,17
2018-19,4,Valencia CF,Valencia,Valencia,61,38,15,16,7,51,35,16
2018-19,5,Getafe CF,Getafe,Getafe,59,38,15,14,9,48,35,13
2018-19,6,Sevilla FC,Sevilla,Sevilla,59,38,17,8,13,62,47,15
2018-19,7,RCD Espanyol,Espanyol,Barcelona,53,38,14,11,13,48,50,-2
2018-19,8,Athletic Club,Athletic Bilbao,Bilbao,53,38,13,14,11,41,45,-4
2018-19,9,Real Betis,Real Betis,Seville,50,38,14,8,16,44,52,-8
2018-19,10,Real Sociedad,Real Sociedad,San Sebastian,50,38,13,11,14,45,46,-1
2018-19,11,D. Alavés,Alavés,Vitoria-Gasteiz,50,38,13,11,14,39,50,-11
